
[00:00:00.000 --> 00:00:01.280]   Hi everyone.
[00:14:13.120 --> 00:14:20.080]   we can use create cached editor, and here we pass in our settings, we can just use nulls
[00:14:20.080 --> 00:14:25.560]   for the editor type, that will just use the default editor type, and then we can pass
[00:14:25.560 --> 00:14:33.880]   in our editor by reference. So with this method the editor that we pass in is getting saved
[00:14:33.880 --> 00:14:40.520]   up here, and it's only creating a new editor when it actually has to. Ok, let's also handle
[00:14:40.520 --> 00:14:43.880]   the case where the settings object hasn't been assigned in the inspector, and so it's
[00:14:43.880 --> 00:14:49.320]   null, so we'll only try and draw the settings editor if the settings object is not equal
[00:14:49.320 --> 00:14:59.320]   to null. Ok, then I'm going to copy this change check scope line, and I'm just going to surround
[00:14:59.320 --> 00:15:07.400]   this call to base dot on inspector GUI with that, and then here say if check dot changed,
[00:15:07.400 --> 00:15:13.760]   then I'll call planet dot generate planet. This is going to be replacing the on validate
[00:15:13.760 --> 00:15:18.640]   method in the planet script, just so that all of the updating is being done from within
[00:15:18.640 --> 00:15:24.720]   the editor script. Then it might also be nice to have a button to just manually generate
[00:15:24.720 --> 00:15:36.680]   a planet, so if GUI layout dot button, I'll call this generate planet, if that button
[00:15:36.680 --> 00:15:44.320]   is pressed, then we can call planet dot generate planet. Alright, last thing is just in the
[00:15:44.320 --> 00:15:52.440]   planet script I'm going to have a public bool auto update, which I'll set to true by default,
[00:15:52.440 --> 00:16:01.440]   and then we'll only run these on settings updated methods if auto update is true. Just
[00:16:01.440 --> 00:16:11.200]   like so. Alright, let's save that, and I'll go into unity one last time to just make sure
[00:16:11.200 --> 00:16:18.360]   that this is all still working. So with auto update on, you can change the planet radius
[00:16:18.360 --> 00:16:24.280]   and the colour of the planet, and that works fine. If I turn auto update off, you can change
[00:16:24.280 --> 00:16:29.920]   say the radius here and then generate a planet manually, and that updates. Alright, so that
[00:16:29.920 --> 00:16:32.960]   is going to be everything for this episode, until next time, cheers.

